RECORD_ID,MSISDN,IMSI,IMEI,PRIVATE_IP,PUBLIC_IP,DEST_IP,DEST_PORT,APP_TYPE,START_TIME,END_TIME,DATA_UP,DATA_DOWN,CELL_ID,B_PARTY_MSISDN,SESSION_DURATION,LAT,LON
REC_000000,918764511339,40573919810120,147401117739989,192.168.80.121,115.176.142.51,48.153.96.178,80,HTTP,2025-08-06 00:22:00.963175,2025-08-06 01:06:38.963175,10940,13238,CELL_0031,,2678,28.823882230047875,76.96939174997115
REC_000001,918730941466,40531671967995,995091193588563,192.168.209.9,176.107.188.245,57.135.155.38,1935,Facebook,2025-08-17 20:03:00.963175,2025-08-17 20:10:13.963175,44174,97750,CELL_0030,917478483262,433,28.40455793899121,77.18101185166783
REC_000002,919599996959,40572025710455,992173258651863,192.168.91.36,105.176.226.108,91.72.197.218,80,HTTP,2025-08-27 05:53:00.963175,2025-08-27 06:23:56.963175,29382,52993,CELL_0067,,1856,28.609569858898322,77.24740474137872
REC_000003,918563524436,40559649554171,307042606457337,192.168.117.157,50.3.158.219,200.55.25.21,21,FTP,2025-08-16 23:29:00.963175,2025-08-16 23:49:05.963175,6408,119201,CELL_0015,917280305443,1205,28.947801694070442,77.59653407895281
REC_000004,917404149892,40544304628710,468818744761017,192.168.167.208,122.219.181.10,226.216.13.100,22,SSH,2025-08-08 09:44:00.963175,2025-08-08 10:18:45.963175,29652,46087,CELL_0025,917161136344,2085,28.509176476631687,77.42250896931616
REC_000005,919645196062,40528874391091,812573227762044,192.168.37.149,96.235.31.155,215.61.165.138,443,HTTPS/Skype,2025-08-18 05:08:00.963175,2025-08-18 05:49:52.963175,35180,124397,CELL_0099,,2512,28.115657417299925,77.15501626848027
REC_000006,917636365899,40585157859353,861716767111639,192.168.247.165,153.243.46.98,255.103.46.234,80,HTTP,2025-07-31 10:12:00.963175,2025-07-31 10:54:42.963175,8404,87910,CELL_0033,,2562,28.842731179501268,77.60892729840036
REC_000007,919454821392,40581794125244,525436963231330,192.168.72.152,90.124.50.8,193.235.120.66,80,HTTP,2025-08-24 01:19:00.963175,2025-08-24 01:36:14.963175,8783,113835,CELL_0008,919713217252,1034,28.622487341126003,76.97091109383312
REC_000008,917161136344,40564231844612,848392100600659,192.168.226.157,127.248.210.42,227.234.65.154,80,HTTP,2025-08-05 18:05:00.963175,2025-08-05 18:36:18.963175,33563,22220,CELL_0093,,1878,28.740779208734605,77.43424528893499
REC_000009,919599996959,40521387220648,677918095554849,192.168.86.237,59.208.50.137,142.170.211.9,443,HTTPS/Skype,2025-08-11 08:49:00.963175,2025-08-11 09:23:06.963175,4700,158974,CELL_0017,,2046,28.353378281920868,77.26059018767857
REC_000010,918442313267,40530161146951,750993344212230,192.168.255.184,152.220.239.141,85.181.210.178,21,FTP,2025-08-05 22:00:00.963175,2025-08-05 22:48:01.963175,16156,54779,CELL_0062,,2881,28.986236097276596,77.09577973382166
REC_000011,918373757683,40555384699714,204217198821227,192.168.128.201,128.192.99.135,145.175.105.19,25,SMTP,2025-08-05 17:51:00.963175,2025-08-05 18:33:09.963175,10479,96530,CELL_0044,,2529,28.333659290966082,76.99256376563123
REC_000012,919645196062,40533500402610,526724258178716,192.168.226.62,68.34.1.160,20.242.52.104,25,SMTP,2025-08-05 09:29:00.963175,2025-08-05 09:43:23.963175,28655,129695,CELL_0096,918730941466,863,28.84717462049367,76.94532421377745
REC_000013,918847386442,40529654648835,370403186301856,192.168.178.250,189.19.222.185,132.231.92.171,22,SSH,2025-08-25 09:55:00.963175,2025-08-25 10:33:49.963175,27673,122901,CELL_0018,919821036399,2329,28.75219133963151,77.7031675947851
REC_000014,918242883741,40510722031186,796836310868786,192.168.42.233,48.153.96.178,92.179.196.200,993,IMAPS,2025-08-02 06:42:00.963175,2025-08-02 07:04:14.963175,14946,118328,CELL_0058,919329185981,1334,28.928593549919416,76.79282646707159
REC_000015,918893922290,40523723914239,325926819307887,192.168.207.166,68.34.1.160,240.11.209.137,5223,WhatsApp,2025-08-26 04:06:00.963175,2025-08-26 04:46:00.963175,39659,125068,CELL_0095,,2400,28.438089990529928,77.08139684650057
REC_000016,917478483262,40539627104322,280469905508604,192.168.234.131,95.146.238.5,79.248.221.254,1935,Facebook,2025-08-11 23:35:00.963175,2025-08-12 00:34:55.963175,49703,193170,CELL_0085,,3595,28.289684053810983,77.46246719240715
